zip_code,state_code
00600,PR
00601,PR
00602,PR
00603,PR
00604,PR
00605,PR
00606,PR
00607,PR
00608,PR
00609,PR
00610,PR
00611,PR
00612,PR
00613,PR
00614,PR
00615,PR
00616,PR
00617,PR
00618,PR
00619,PR
00620,PR
00621,PR
00622,PR
00623,PR
00624,PR
00625,PR
00626,PR
00627,PR
00628,PR
00629,PR
00630,PR
00631,PR
00632,PR
00633,PR
00634,PR
00635,PR
00636,PR
00637,PR
00638,PR
00639,PR
00640,PR
00641,PR
00642,PR
00643,PR
00644,PR
00645,PR
00646,PR
00647,PR
00648,PR
00649,PR
00650,PR
00651,PR
00652,PR
00653,PR
00654,PR
00655,PR
00656,PR
00657,PR
00658,PR
00659,PR
00660,PR
00661,PR
00662,PR
00663,PR
00664,PR
00665,PR
00666,PR
00667,PR
00668,PR
00669,PR
00670,PR
00671,PR
00672,PR
00673,PR
00674,PR
00675,PR
00676,PR
00677,PR
00678,PR
00679,PR
00680,PR
00681,PR
00682,PR
00683,PR
00684,PR
00685,PR
00686,PR
00687,PR
00688,PR
00689,PR
00690,PR
00691,PR
00692,PR
00693,PR
00694,PR
00695,PR
00696,PR
00697,PR
00698,PR
00699,PR
00700,PR
00701,PR
00702,PR
00703,PR
00704,PR
00705,PR
00706,PR
00707,PR
00708,PR
00709,PR
00710,PR
00711,PR
00712,PR
00713,PR
00714,PR
00715,PR
00716,PR
00717,PR
00718,PR
00719,PR
00720,PR
00721,PR
00722,PR
00723,PR
00724,PR
00725,PR
00726,PR
00727,PR
00728,PR
00729,PR
00730,PR
00731,PR
00732,PR
00733,PR
00734,PR
00735,PR
00736,PR
00737,PR
00738,PR
00739,PR
00740,PR
00741,PR
00742,PR
00743,PR
00744,PR
00745,PR
00746,PR
00747,PR
00748,PR
00749,PR
00750,PR
00751,PR
00752,PR
00753,PR
00754,PR
00755,PR
00756,PR
00757,PR
00758,PR
00759,PR
00760,PR
00761,PR
00762,PR
00763,PR
00764,PR
00765,PR
00766,PR
00767,PR
00768,PR
00769,PR
00770,PR
00771,PR
00772,PR
00773,PR
00774,PR
00775,PR
00776,PR
00777,PR
00778,PR
00779,PR
00780,PR
00781,PR
00782,PR
00783,PR
00784,PR
00785,PR
00786,PR
00787,PR
00788,PR
00789,PR
00790,PR
00791,PR
00792,PR
00793,PR
00794,PR
00795,PR
00796,PR
00797,PR
00798,PR
00799,PR
00800,PR
00801,PR
00802,PR
00803,PR
00804,PR
00805,PR
00806,PR
00807,PR
00808,PR
00809,PR
00810,PR
00811,PR
00812,PR
00813,PR
00814,PR
00815,PR
00816,PR
00817,PR
00818,PR
00819,PR
00820,PR
00821,PR
00822,PR
00823,PR
00824,PR
00825,PR
00826,PR
00827,PR
00828,PR
00829,PR
00830,PR
00831,PR
00832,PR
00833,PR
00834,PR
00835,PR
00836,PR
00837,PR
00838,PR
00839,PR
00840,PR
00841,PR
00842,PR
00843,PR
00844,PR
00845,PR
00846,PR
00847,PR
00848,PR
00849,PR
